started,extinguished,counties,latitude,longitude,acresBurned,precipIntensity,precipIntensityMax,precipProbability,dewPoint,humidity,windSpeed,windGust,windBearing,uvIndex,temperatureMin,temperatureMax,cloudCover,visibility,pressure,wildfireIntensity
2015-08-18T18:30:00Z,2015-08-29T07:00:00Z,Humboldt,40.10588,-124.072,146,8.33E-06,0.0001,0.0225,49.43417,0.6775,2.326667,11.20833,189,0,47.36333,84.50417,,,,Low
2015-08-19T14:45:00Z,2015-08-22T18:30:00Z,Alameda,37.3845,-121.373,2700,0,0,0,53.6625,0.6575,5.94,13.9125,230,9.5,56.3,82.5625,0.3225,4.07175,1010.975,High
2015-08-22T17:30:00Z,2015-08-27T15:15:00Z,Lake,38.92576,-122.879,215,1.67E-05,0.000117,0.001667,47.76,0.453333,2.665,15.97333,181.1667,8.5,55.04,89.85,0.315,9.216,1012.95,Low
2015-08-23T12:25:00Z,2015-09-11T15:00:00Z,San Bernardino,34.23,-116.883,55,0.000216,0.003384,0.042105,37.80053,0.436842,2.726842,12.17632,209.9474,9.473684,48.63632,75.58263,0.140526,9.916105,1011.942,Low
2015-08-25T14:08:00Z,2015-08-29T18:45:00Z,Trinity,40.7249,-122.962,128,0,0,0,44.016,0.374,3.438,16.236,143.6,8.6,55.656,91.802,0.114,9.9436,,Low
2015-09-02T14:57:00Z,2015-09-08T19:28:00Z,Lake,55.23,-122,673,,,,,,,,,0,36.03286,49.91429,,,,Medium
2015-09-08T13:23:00Z,2015-09-15T19:15:00Z,Tuolumne,38.04684,-120.302,108,6.25E-05,0.000475,0.0475,35.85875,0.2675,4.42375,14.8225,246.25,8,62.42875,87.10625,0.42375,9.36825,,Low
2015-09-11T14:15:00Z,2015-09-17T19:30:00Z,Butte,39.5218,-121.336,1042,0.001014,0.0063,0.152857,46.02857,0.435714,4.575714,15.55143,152.4286,6.714286,63.22429,84.86286,0.277143,9.153,1010.057,Medium
2015-09-19T15:00:00Z,2015-09-27T18:15:00Z,Monterey,36.36996,-121.59,1086,1.11E-05,0.000211,0.012222,44.38667,0.431111,5.023333,18.63556,254.1111,7.222222,55.46778,86.74444,0.146667,8.993889,1012.8,Medium
2015-10-12T16:00:00Z,2015-10-16T18:00:00Z,San Benito,36.70854,-121.327,670,0.0004,0.00236,0.116,53.116,0.608,3.026,13.37,277.4,5.4,56.908,86.106,0.118,7.111,1015.4,Medium
2015-10-29T05:30:00Z,2015-11-09T12:00:00Z,Santa Barbara,34.4828,-119.632,21,0.000275,0.001683,0.088333,36.84,0.505833,5.773333,22.16417,222.6667,4.416667,48.855,67.41,0.105833,9.839167,1014.65,Low
2016-05-22T15:27:00Z,2016-05-25T18:15:00Z,Monterey,36.38123,-121.201,3876,5.00E-05,0.0011,0.0175,42.0225,0.5575,5.48,20.1325,300.5,9.25,48.9625,70.2425,0.505,6.43175,1017.25,High
2016-05-31T13:48:00Z,2016-06-07T06:45:00Z,San Diego,33.41639,-117.088,70,5.00E-05,0.0004,0.03375,52.67375,0.62625,4.56875,15.01625,205.25,9.625,57.96875,82.26375,0.48875,7.906375,1013.275,Low
2016-06-04T11:40:00Z,2016-06-07T18:15:00Z,Riverside,33.47689,-117.141,139,0,0.00025,0.04,50.865,0.505,4.2325,14.3125,222,10.25,60.1375,88.1075,0.2925,8.2535,1012.925,Low
2016-06-04T14:33:00Z,2016-06-20T08:30:00Z,Monterey,36.01542,-121.25,2520,5.88E-06,5.88E-05,0.011765,44.03059,0.504118,3.744706,17.06235,122.1176,,49.27,83.99471,,,1011.7,Medium
2016-06-17T14:54:00Z,2016-06-21T18:30:00Z,Amador,38.26874,-120.903,210,0,4.00E-05,0.002,46.882,0.46,3.106,12.82,284,10.6,54.572,87.192,0.144,8.0582,,Low
2016-06-19T11:03:00Z,2016-06-30T18:30:00Z,San Diego,32.60729,-116.63,7609,0,0,0,45.07917,0.3375,5.425833,17.37833,257.4167,10.58333,63.4775,92.91583,0.248333,7.794,1012.117,High
